Таблица идентификаторов
Идентификатор                         | Тип данных        | Тип идентификатора     | Индекс в таблице лексем     | Значение
sum                                   | float             | функция                | Из статической библиотеки   | Не определено
minus                                 | float             | функция                | Из статической библиотеки   | Не определено
mult                                  | float             | функция                | Из статической библиотеки   | Не определено
division                              | float             | функция                | Из статической библиотеки   | Не определено
sum                                   | float             | функция                | -842150451                  | Не определено
Fact.$                                | num               | функция                | 0                           | Не определено
a.Fact.$                              | num               | параметр               | 4                           | Не определено
res.Fact.$                            | num               | переменная             | 11                          | Не определено
literal                               | num               | литерал                | 15                          | 1
literal                               | num               | литерал                | 19                          | 1
a.Fact.$                              | num               | параметр               | 21                          | Не определено
literal                               | num               | литерал                | 23                          | 1
el.$For1.Fact.$                       | num               | параметр               | 25                          | Не определено
res.Fact.$                            | num               | переменная             | 27                          | Не определено
mult                                  | float             | функция                | 29                          | Не определено
res.Fact.$                            | num               | переменная             | 31                          | Не определено
el.$For1.Fact.$                       | num               | параметр               | 33                          | Не определено
literal                               | num               | литерал                | 35                          | 6
res.Fact.$                            | num               | переменная             | 42                          | Не определено
w.$l1.main.$                          | num               | переменная             | 47                          | Не определено
Fact.$                                | num               | функция                | 51                          | Не определено
literal                               | num               | литерал                | 53                          | 3
w.$l1.main.$                          | num               | переменная             | 57                          | Не определено
literal                               | num               | литерал                | 59                          | 6
literal                               | string            | литерал                | 66                          | w ravno 6
literal                               | string            | литерал                | 78                          | w ne ravno 6
d.$l1.main.$                          | num               | переменная             | 86                          | Не определено
literal                               | num               | литерал                | 90                          | 1
k.$l1.main.$                          | num               | переменная             | 92                          | Не определено
literal                               | num               | литерал                | 96                          | 3
d.$l1.main.$                          | num               | переменная             | 99                          | Не определено
k.$l1.main.$                          | num               | переменная             | 101                         | Не определено
literal                               | string            | литерал                | 108                         | true
literal                               | string            | литерал                | 120                         | false
dn.$l1.main.$                         | num               | переменная             | 128                         | Не определено
literal                               | num               | литерал                | 132                         | 4
x.$l1.main.$                          | num               | переменная             | 134                         | Не определено
literal                               | num               | литерал                | 138                         | 4
y.$l1.main.$                          | num               | переменная             | 140                         | Не определено
literal                               | num               | литерал                | 144                         | 2
xy.$l1.main.$                         | num               | переменная             | 146                         | Не определено
x.$l1.main.$                          | num               | переменная             | 150                         | Не определено
y.$l1.main.$                          | num               | переменная             | 152                         | Не определено
ab.$l1.main.$                         | num               | переменная             | 154                         | Не определено
x.$l1.main.$                          | num               | переменная             | 158                         | Не определено
y.$l1.main.$                          | num               | переменная             | 160                         | Не определено
sm2.$l1.main.$                        | symb              | переменная             | 162                         | Не определено
literal                               | symb              | литерал                | 166                         | s
literal                               | string            | литерал                | 170                         | something
sm2.$l1.main.$                        | symb              | переменная             | 172                         | Не определено
as.$l1.main.$                         | bool              | переменная             | 175                         | Не определено
literal                               | num               | литерал                | 179                         | 0
kdy.$l1.main.$                        | bool              | переменная             | 181                         | Не определено
literal                               | bool              | литерал                | 185                         | 97
literal                               | num               | литерал                | 188                         | 0

